#options: 1920x1080 fps=50/1 timebase=1/50 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=cbr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=4000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:114 out:113 type:P dur:2 cpbdur:2 q:37.06 aq:33.77 tex:30445 mv:11718 misc:5405 imb:106 pmb:2246 smb:5808 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:37.10 aq:34.81 tex:305 mv:1868 misc:1467 imb:4 pmb:244 smb:7912 d:- ref:0 ;
in:116 out:115 type:P dur:2 cpbdur:2 q:37.11 aq:33.95 tex:27650 mv:11445 misc:5337 imb:76 pmb:2178 smb:5906 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:37.11 aq:35.87 tex:462 mv:2475 misc:1823 imb:5 pmb:333 smb:7822 d:- ref:0 ;
in:118 out:117 type:P dur:2 cpbdur:2 q:37.07 aq:33.91 tex:29655 mv:11569 misc:5224 imb:92 pmb:2222 smb:5846 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:37.11 aq:34.90 tex:511 mv:2556 misc:1837 imb:2 pmb:338 smb:7820 d:- ref:0 ;
in:120 out:119 type:P dur:2 cpbdur:2 q:37.11 aq:33.99 tex:27602 mv:11362 misc:5236 imb:93 pmb:2144 smb:5923 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:37.11 aq:35.65 tex:632 mv:2491 misc:1797 imb:7 pmb:317 smb:7836 d:- ref:0 ;
in:122 out:121 type:P dur:2 cpbdur:2 q:37.07 aq:33.92 tex:29181 mv:10750 misc:5133 imb:85 pmb:2098 smb:5977 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:37.11 aq:35.39 tex:491 mv:2187 misc:1858 imb:4 pmb:334 smb:7822 d:- ref:0 ;
in:124 out:123 type:P dur:2 cpbdur:2 q:37.04 aq:34.33 tex:29894 mv:11349 misc:5197 imb:68 pmb:2197 smb:5895 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:37.07 aq:36.35 tex:373 mv:1965 misc:1638 imb:8 pmb:257 smb:7895 d:- ref:0 ;
in:126 out:125 type:P dur:2 cpbdur:2 q:37.08 aq:33.96 tex:29544 mv:11941 misc:5379 imb:101 pmb:2195 smb:5864 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:37.08 aq:35.39 tex:651 mv:3095 misc:2270 imb:6 pmb:420 smb:7734 d:- ref:0 ;
in:128 out:127 type:P dur:2 cpbdur:2 q:37.05 aq:33.88 tex:29960 mv:12013 misc:5307 imb:117 pmb:2230 smb:5813 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:37.08 aq:34.70 tex:652 mv:2346 misc:1802 imb:3 pmb:305 smb:7852 d:- ref:0 ;
in:130 out:129 type:P dur:2 cpbdur:2 q:37.10 aq:33.90 tex:33872 mv:12110 misc:5234 imb:122 pmb:2292 smb:5746 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:37.10 aq:34.49 tex:658 mv:2594 misc:2028 imb:3 pmb:399 smb:7758 d:- ref:0 ;
in:132 out:131 type:P dur:2 cpbdur:2 q:37.07 aq:33.87 tex:30900 mv:11954 misc:5330 imb:100 pmb:2285 smb:5775 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:37.10 aq:35.66 tex:593 mv:2533 misc:1746 imb:1 pmb:328 smb:7831 d:- ref:0 ;
in:134 out:133 type:P dur:2 cpbdur:2 q:37.04 aq:34.04 tex:29723 mv:11529 misc:5276 imb:94 pmb:2172 smb:5894 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:37.07 aq:35.03 tex:655 mv:2703 misc:1866 imb:5 pmb:336 smb:7819 d:- ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:37.11 aq:34.38 tex:30094 mv:11834 misc:5136 imb:97 pmb:2229 smb:5834 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:37.11 aq:35.84 tex:764 mv:2671 misc:1829 imb:4 pmb:348 smb:7808 d:- ref:0 ;
in:138 out:137 type:P dur:2 cpbdur:2 q:37.09 aq:33.85 tex:30716 mv:11603 misc:5193 imb:89 pmb:2209 smb:5862 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:37.11 aq:36.13 tex:644 mv:2552 misc:1852 imb:5 pmb:365 smb:7790 d:- ref:0 ;
in:140 out:139 type:P dur:2 cpbdur:2 q:37.06 aq:33.94 tex:29276 mv:12023 misc:5213 imb:111 pmb:2208 smb:5841 d:- ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:37.09 aq:36.53 tex:973 mv:3348 misc:1935 imb:9 pmb:384 smb:7767 d:- ref:0 ;
in:142 out:141 type:P dur:2 cpbdur:2 q:37.03 aq:34.07 tex:29981 mv:11546 misc:5241 imb:100 pmb:2190 smb:5870 d:- ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:37.06 aq:35.37 tex:978 mv:2578 misc:1748 imb:10 pmb:329 smb:7821 d:- ref:0 ;
in:144 out:143 type:P dur:2 cpbdur:2 q:37.01 aq:33.81 tex:31470 mv:11919 misc:5171 imb:114 pmb:2268 smb:5778 d:- ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:37.03 aq:36.57 tex:923 mv:2812 misc:1889 imb:4 pmb:363 smb:7793 d:- ref:0 ;
in:146 out:145 type:P dur:2 cpbdur:2 q:37.07 aq:34.25 tex:29867 mv:12409 misc:5164 imb:111 pmb:2321 smb:5728 d:- ref:0 ;
in:145 out:146 type:b dur:2 cpbdur:2 q:37.07 aq:36.31 tex:752 mv:2529 misc:1807 imb:6 pmb:333 smb:7821 d:- ref:0 ;
in:148 out:147 type:P dur:2 cpbdur:2 q:37.05 aq:33.82 tex:28263 mv:11442 misc:5207 imb:103 pmb:2153 smb:5904 d:- ref:0 ;
in:147 out:148 type:b dur:2 cpbdur:2 q:37.07 aq:35.27 tex:884 mv:2663 misc:1597 imb:6 pmb:300 smb:7854 d:- ref:0 ;
in:150 out:149 type:P dur:2 cpbdur:2 q:37.03 aq:33.66 tex:28437 mv:11410 misc:5273 imb:91 pmb:2189 smb:5880 d:- ref:0 ;
in:149 out:150 type:b dur:2 cpbdur:2 q:37.05 aq:34.53 tex:430 mv:2119 misc:1451 imb:3 pmb:278 smb:7879 d:- ref:0 ;
in:152 out:151 type:P dur:2 cpbdur:2 q:37.01 aq:34.06 tex:29510 mv:11442 misc:5016 imb:82 pmb:2187 smb:5891 d:- ref:0 ;
in:151 out:152 type:b dur:2 cpbdur:2 q:37.03 aq:35.49 tex:796 mv:2660 misc:1800 imb:2 pmb:327 smb:7831 d:- ref:0 ;
